scenario,U_to_treatment_strength,U_to_outcome_strength,truth,sample_size,estimator,mean_estimate,bias,mcse_bias,rmse,mcse_rmse,empirical_sd,mean_estimated_se,coverage,mcse_coverage,n_replications,n_attempted,n_valid,n_coverage,n_failed,n_not_applicable,n_non_ok,failure_rate,non_ok_rate,failure_rate_denominator,first_error_type,first_error_message,status_message
U_A0p4_U_Y0,0.4,0.0,0.1689216458914039,1000,naive_risk_difference,0.28447221878525925,0.11555057289385537,0.00342622950826282,0.1194961076308269,0.003206363772594878,0.030645128347965383,0.029841628633299366,0.0375,0.021240806834958038,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A0p4_U_Y0,0.4,0.0,0.1689216458914039,1000,logistic_gcomp_risk_difference,0.17191289909776583,0.0029912532063619372,0.0035716313015481268,0.031885969609316285,0.0022999307466109943,0.03194564152331065,0.001037097747056279,0.0375,0.021240806834958038,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A0p4_U_Y0,0.4,0.0,0.1689216458914039,1000,ipw_risk_difference,0.17274427574813273,0.003822629856728858,0.003679753755890969,0.03292899827867615,0.002526226055202037,0.03291271815452951,0.04477737123144823,1.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A0p4_U_Y0,0.4,0.0,0.1689216458914039,1000,aipw_risk_difference,0.1725214920464034,0.003599846154999509,0.003759731727064904,0.03361056266175921,0.0026281410805425653,0.03362806287551924,0.03190232207065888,0.9375,0.027063293868263706,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A0p4_U_Y0,0.4,0.0,0.1689216458914039,1000,adjusted_oracle_includes_U,0.17295758773530293,0.004035941843899009,0.003570912166868953,0.031994538739342056,0.0020549604894460304,0.031939209387200206,0.0010496273746753518,0.0625,0.027063293868263706,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A0p4_U_Y0p5,0.4,0.5,0.16265679541583672,1000,naive_risk_difference,0.3054628098803581,0.14280601446452149,0.0034366219971750612,0.14603621830425165,0.003417323858492488,0.030738081594618112,0.029673978213865977,0.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A0p4_U_Y0p5,0.4,0.5,0.16265679541583672,1000,logistic_gcomp_risk_difference,0.20445312986949454,0.0417963344536578,0.003921420259954967,0.05442204503068274,0.003998749102038395,0.035074249078416816,0.0010570343135626555,0.025,0.017455300054711177,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A0p4_U_Y0p5,0.4,0.5,0.16265679541583672,1000,ipw_risk_difference,0.20587960596535154,0.04322281054951483,0.0038698240206921754,0.05523838203584729,0.0037976443198010318,0.03461275828491703,0.04458580032263372,0.9,0.03354101966249684,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A0p4_U_Y0p5,0.4,0.5,0.16265679541583672,1000,aipw_risk_difference,0.20482325955649,0.04216646414065328,0.0040446832970154195,0.055411264856564016,0.004028830927262751,0.036176747198337814,0.03220737859346469,0.7125,0.050601846557215675,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A0p4_U_Y0p5,0.4,0.5,0.16265679541583672,1000,adjusted_oracle_includes_U,0.16344108085167736,0.0007842854358406194,0.003902885741386917,0.03469847194560958,0.0034175393932385015,0.03490847130462325,0.0011814630227130777,0.0375,0.021240806834958038,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
