estimator,estimate,se,ci_lower,ci_upper,sample_size,replication,seed,truth,error,covered,treatment_prevalence,propensity_p01,propensity_p99,positivity_warning
naive_risk_difference,0.2553023003682425,0.02346220971109088,0.20931721433677844,0.3012873863997065,1600,74,20460682,0.1389913907227091,0.11631090964553337,False,0.358125,0.06769362898259672,0.7773278558026598,False
logistic_gcomp_risk_difference,0.16854792501500984,0.0012699550169716798,0.16605885891975938,0.1710369911102603,1600,74,20460682,0.1389913907227091,0.029556534292300735,False,0.358125,0.06769362898259672,0.7773278558026598,False
ipw_risk_difference,0.18452985109115957,0.030980342892920676,0.12380949479233362,0.24525020738998554,1600,74,20460682,0.1389913907227091,0.04553846036845047,True,0.358125,0.06769362898259672,0.7773278558026598,False
aipw_risk_difference,0.17967187868830256,0.02594808036301059,0.1288145757088508,0.23052918166775432,1600,74,20460682,0.1389913907227091,0.040680487965593454,True,0.358125,0.06769362898259672,0.7773278558026598,False
naive_risk_difference,0.23401390768153696,0.02358468525627123,0.18778877399253252,0.2802390413705414,1600,75,20460683,0.1389913907227091,0.09502251695882785,False,0.36625,0.06380370778737482,0.7736193941676228,False
logistic_gcomp_risk_difference,0.12984833766646312,0.0012001528704189326,0.12749608126449963,0.1322005940684266,1600,75,20460683,0.1389913907227091,-0.009143053056245992,False,0.36625,0.06380370778737482,0.7736193941676228,False
ipw_risk_difference,0.12419350342370894,0.02912072613763162,0.06711792899029677,0.1812690778571211,1600,75,20460683,0.1389913907227091,-0.014797887299000168,True,0.36625,0.06380370778737482,0.7736193941676228,False
aipw_risk_difference,0.1314633681593593,0.023116744107232468,0.08615538226935514,0.17677135404936345,1600,75,20460683,0.1389913907227091,-0.007528022563349807,True,0.36625,0.06380370778737482,0.7736193941676228,False
naive_risk_difference,0.23611623485342945,0.024109888506395855,0.18886172170961738,0.2833707479972415,1600,76,20460684,0.1389913907227091,0.09712484413072034,False,0.3275,0.050998033698587665,0.794317180215635,False
logistic_gcomp_risk_difference,0.11588022342141584,0.0010476575554931532,0.11382685234451799,0.11793359449831368,1600,76,20460684,0.1389913907227091,-0.02311116730129327,False,0.3275,0.050998033698587665,0.794317180215635,False
ipw_risk_difference,0.11215387820143807,0.030093024995495703,0.05317263302440287,0.17113512337847328,1600,76,20460684,0.1389913907227091,-0.026837512521271034,True,0.3275,0.050998033698587665,0.794317180215635,False
aipw_risk_difference,0.11609118764401433,0.024784814089960028,0.06751384466417179,0.16466853062385686,1600,76,20460684,0.1389913907227091,-0.02290020307869478,True,0.3275,0.050998033698587665,0.794317180215635,False
naive_risk_difference,0.23708791208791208,0.023788753565097572,0.19046281186322203,0.28371301231260215,1600,77,20460685,0.1389913907227091,0.09809652136520297,False,0.35,0.0651350705336143,0.7703092375408609,False
logistic_gcomp_risk_difference,0.14885976898154593,0.0011652620503016943,0.1465758973304033,0.15114364063268856,1600,77,20460685,0.1389913907227091,0.009868378258836824,False,0.35,0.0651350705336143,0.7703092375408609,False
ipw_risk_difference,0.14296998531180363,0.02929713634720485,0.08554865322112276,0.2003913174024845,1600,77,20460685,0.1389913907227091,0.003978594589094525,True,0.35,0.0651350705336143,0.7703092375408609,False
aipw_risk_difference,0.14441176265532063,0.024047077480124066,0.09728035686083326,0.191543168449808,1600,77,20460685,0.1389913907227091,0.005420371932611523,True,0.35,0.0651350705336143,0.7703092375408609,False
naive_risk_difference,0.26919154331707046,0.024089527056218325,0.22197693788227935,0.31640614875186157,1600,78,20460686,0.1389913907227091,0.13020015259436135,False,0.3475,0.06367603811962894,0.7666442131869772,False
logistic_gcomp_risk_difference,0.15049403878994794,0.0011969019829771205,0.14814815401028822,0.15283992356960766,1600,78,20460686,0.1389913907227091,0.01150264806723883,False,0.3475,0.06367603811962894,0.7666442131869772,False
ipw_risk_difference,0.15215649183682248,0.029214717014746483,0.09489669866938985,0.2094162850042551,1600,78,20460686,0.1389913907227091,0.01316510111411337,True,0.3475,0.06367603811962894,0.7666442131869772,False
aipw_risk_difference,0.1497941066700106,0.024249730073615534,0.10226550909090633,0.1973227042491149,1600,78,20460686,0.1389913907227091,0.010802715947301506,True,0.3475,0.06367603811962894,0.7666442131869772,False
naive_risk_difference,0.223646282651917,0.024472368239842366,0.17568132228542407,0.2716112430184099,1600,79,20460687,0.1389913907227091,0.08465489192920789,False,0.34875,0.06983154378447647,0.7773383186216725,False
logistic_gcomp_risk_difference,0.12955054235375632,0.0008379331231297317,0.12790822361096887,0.13119286109654377,1600,79,20460687,0.1389913907227091,-0.009440848368952787,False,0.34875,0.06983154378447647,0.7773383186216725,False
ipw_risk_difference,0.1333156304636969,0.032296265711137896,0.07001611283473075,0.19661514809266306,1600,79,20460687,0.1389913907227091,-0.0056757602590122025,True,0.34875,0.06983154378447647,0.7773383186216725,False
aipw_risk_difference,0.13338856758184012,0.025649167984793685,0.08311712209822669,0.18366001306545354,1600,79,20460687,0.1389913907227091,-0.00560282314086899,True,0.34875,0.06983154378447647,0.7773383186216725,False
naive_risk_difference,0.2057732923314002,0.02352424277914848,0.15966662372069276,0.25187996094210763,1600,80,20460688,0.1389913907227091,0.0667819016086911,False,0.34875,0.06247273741123189,0.7826528229318773,False
logistic_gcomp_risk_difference,0.11597087675496894,0.0009378696119702806,0.11413268609331263,0.11780906741662524,1600,80,20460688,0.1389913907227091,-0.023020513967740172,False,0.34875,0.06247273741123189,0.7826528229318773,False
ipw_risk_difference,0.1123268671731066,0.02853793221791055,0.05639354783275665,0.16826018651345653,1600,80,20460688,0.1389913907227091,-0.026664523549602512,True,0.34875,0.06247273741123189,0.7826528229318773,False
aipw_risk_difference,0.11176687247804235,0.02361385545789239,0.06548456624443867,0.15804917871164603,1600,80,20460688,0.1389913907227091,-0.027224518244666762,True,0.34875,0.06247273741123189,0.7826528229318773,False
naive_risk_difference,0.2703711558854719,0.0239297597415984,0.2234696886332425,0.31727262313770127,1600,81,20460689,0.1389913907227091,0.13137976516276278,False,0.359375,0.057785297220552895,0.7548206499120228,False
logistic_gcomp_risk_difference,0.1473533341545075,0.0012732289233731615,0.1448578513206214,0.14984881698839358,1600,81,20460689,0.1389913907227091,0.008361943431798385,False,0.359375,0.057785297220552895,0.7548206499120228,False
ipw_risk_difference,0.1557226444546602,0.029905464658085044,0.09710901078387807,0.21433627812544231,1600,81,20460689,0.1389913907227091,0.016731253731951085,True,0.359375,0.057785297220552895,0.7548206499120228,False
aipw_risk_difference,0.1518557450224971,0.02426692146309847,0.10429345293916206,0.19941803710583214,1600,81,20460689,0.1389913907227091,0.012864354299787994,True,0.359375,0.057785297220552895,0.7548206499120228,False
naive_risk_difference,0.2540651126391651,0.023558468618479773,0.20789136261602764,0.30023886266230254,1600,82,20460690,0.1389913907227091,0.11507372191645598,False,0.364375,0.06341776648922375,0.7694748488408462,False
logistic_gcomp_risk_difference,0.14691095895672862,0.0010943444554656612,0.14476608323733484,0.1490558346761224,1600,82,20460690,0.1389913907227091,0.007919568234019514,False,0.364375,0.06341776648922375,0.7694748488408462,False
ipw_risk_difference,0.15589127615200704,0.03220651640426002,0.09276766393215896,0.21901488837185512,1600,82,20460690,0.1389913907227091,0.016899885429297934,True,0.364375,0.06341776648922375,0.7694748488408462,False
aipw_risk_difference,0.15544047496458197,0.02699906625376212,0.10252327749099745,0.2083576724381665,1600,82,20460690,0.1389913907227091,0.016449084241872858,True,0.364375,0.06341776648922375,0.7694748488408462,False
naive_risk_difference,0.24788482834994463,0.024427122080412034,0.20000854882637392,0.29576110787351534,1600,83,20460691,0.1389913907227091,0.10889343762723552,False,0.328125,0.05054480887346686,0.7886529362927422,False
